NQUEST,Y,CN,CD1,CD2,CD,C,S
111052,26353.09887,22000,0,0,0,22000,4353.0988703
145007,95854.871356,66100,0,0,0,66100,29754.871356
178001,16902.479096,12010,0,0,0,12010,4892.4790962
213440,28004.734042,25500,0,0,0,25500,2504.7340418
224048,8307,9760,0,0,0,9760,-1453
230029,30146.70814,13060,0,0,0,13060,17086.70814
230037,40589.089821,17600,0,0,0,17600,22989.089821
237003,53474.790962,37800,0,0,0,37800,15674.790962
244013,27894.977863,18460,0,0,0,18460,9434.9778632
244058,18604.951969,17100,0,0,0,17100,1504.9519686
250005,14988.309887,9300,0,0,0,9300,5688.309887
250010,20800,8900,0,0,0,8900,11900
250039,9600.6197741,7950,0,0,0,7950,1650.6197741
282083,13197.254293,9920,0,0,0,9920,3277.254293
282089,29611.367671,26230,0,0,0,26230,3381.367671
284086,27020.142657,23340,0,0,0,23340,3680.1426568
310002,16601.549435,14300,0,0,0,14300,2301.5494351
310005,15995.494351,12840,0,0,0,12840,3155.4943514
321009,25925.003665,15100,0,0,0,15100,10825.003665
333081,48009.89882,28500,0,0,0,28500,19509.89882
365034,17407.747176,15600,0,0,0,15600,1807.7471757
387029,40489.649435,20340,0,0,0,20340,20149.649435
389084,15601.549435,12250,0,1000,1000,13250,2351.5494351
500001,27706.758764,13400,0,160,160,13560,14146.758764
500090,27628.510624,25360,0,700,700,26060,1568.5106237
500176,24139.832903,14100,0,0,0,14100,10039.832903
500669,44453.309508,18600,18000,0,18000,36600,7853.3095082
500674,28168.470692,10780,0,0,0,10780,17388.470692
500726,49698.899862,12950,17000,450,17450,30400,19298.899862
501068,20548.805435,12800,0,0,0,12800,7748.8054352
501082,25823.540958,19100,0,0,0,19100,6723.5409584
501694,27344.516925,21840,0,0,0,21840,5504.516925
502060,6009.2966108,9322,0,0,0,9322,-3312.703389
502355,45495.819244,30200,0,0,0,30200,15295.819244
502364,26532.391049,25400,0,0,0,25400,1132.3910485
503560,35875.570897,35800,0,0,0,35800,75.570897119
503561,55681.912087,52000,0,0,0,52000,3681.9120866
503593,25306.197741,22900,0,0,0,22900,2406.1977405
503674,86218.011431,20260,0,0,0,20260,65958.011431
503788,36949.472568,30600,0,0,0,30600,6349.4725682
503931,65218.471621,27100,0,700,700,27800,37418.471621
504157,21709.916385,16460,0,420,420,16880,4829.9163849
504363,16253.718644,10500,-7000,0,-7000,3500,12753.718644
504395,83799.40497,43700,0,0,0,43700,40099.40497
504453,76590.052329,20900,0,0,0,20900,55690.052329
504584,11354.819091,9640,10000,0,10000,19640,-8285.180909
504730,47680.988703,37450,0,0,0,37450,10230.988703
504792,55423.605498,50300,0,0,0,50300,5123.6054981
504889,62648.729008,46100,0,1000,1000,47100,15548.729008
504921,39015.494351,24300,15000,0,15000,39300,-284.5056486
504937,36809.296611,16700,0,0,0,16700,20109.296611
505022,20415.494351,16800,0,0,0,16800,3615.4943514
505167,18152.838514,9200,0,0,0,9200,8952.8385143
505228,31198.721551,18966,0,0,0,18966,12232.721551
505390,124619.03091,37100,31000,0,31000,68100,56519.030914
505517,40950.544078,19400,0,0,0,19400,21550.544078
505525,45732.802918,21200,0,0,0,21200,24532.802918
