NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,b22,b23a,b23b,b24,b25a,b25b,b25c,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT2,PESOFIT
957264,1,1,2,1,1,1969,1,,,3,2,,,,,,,,1,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,51,19,3,19,,,3,7,3,5,1,1,0,0,1,3,5,2,4,2826.8982204,0.696531425
957284,1,1,1,1,1,1967,1,,,2,7,9,110,110,0,1994,3,,1,,,,1,3,,,1,,27,2,,,1,27,0,1,100,2,,,1,0,0,65,100,2,,1,2,2,2,2,2,2,,2353,16,,2,2,,53,19,3,19,,,3,2,1,3,1,1,1,1,1,3,5,2,4,579.08073098,0.1426821538
957296,1,1,1,1,1,1952,1,,,3,7,8,108,110,0,1976,3,,1,,,,2,15,5,14,2,3,28,2,,,1,42,4,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,3,5,1222.0366328,0.3011027815
957303,4,1,1,1,1,1970,1,,,1,5,,10,10,,1988,2,2,1,,,,1,6,,,1,,18,2,,,2,,,1,90,2,,,2,,,65,40,,,2,1,2,2,2,2,2,,5245,19,,2,2,,50,19,3,19,,,3,4,2,4,0,1,1,2,2,3,5,3,5,3386.3082348,0.8343668277
957303,4,2,2,2,1,1973,1,,,1,5,,10,10,,1991,3,2,2,,,,1,3,,,1,,18,2,,,1,29,0,1,,2,,,1,20,26,,,3,,1,2,2,2,2,2,2,,2330,16,,2,2,,47,19,3,19,,,3,2,1,3,1,1,1,2,2,3,5,3,5,3386.3082348,0.8343668277
957303,4,3,1,6,1,2005,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,15,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,3,5,3386.3082348,0.8343668277
957303,4,4,2,6,1,2010,1,,,2,2,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,10,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,3,5,3386.3082348,0.8343668277
957306,2,1,1,1,1,1947,1,,,1,2,,,,,,,,1,,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,73,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,3,5,1026.3460406,0.2528857477
957306,2,2,2,3,1,1954,1,,,1,2,,,,,,,,1,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,66,19,3,19,,,5,7,3,5,0,0,0,0,1,3,5,3,5,1026.3460406,0.2528857477
957307,2,1,1,1,1,1946,1,,,1,7,1,110,110,1,1970,2,,1,,,,2,15,5,16,1,,26,2,,,1,44,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,74,19,3,19,,,5,6,3,5,1,1,0,1,2,3,5,3,5,713.99798934,0.1759249885
